,,sfh_0,sfh_1,sfh_2,zh_0,zh_1,zh_2,sigma,logL,logL_birth,nlive
labels,,$sfh_0$,$sfh_1$,$sfh_2$,$zh_0$,$zh_1$,$zh_2$,$\sigma$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,
190,0.0,10.545813,3.2407794,11.911838,0.011435739,0.013009617,0.01196688,8.7967965e-06,38201.992,10698.625,60
191,0.0,8.810754,3.1685028,11.602457,0.004625629,0.015264777,0.010315711,8.093258e-06,38324.168,32531.648,59
192,0.0,8.848881,9.111109,4.1512527,0.009999408,0.0012195891,0.0048435903,8.0190475e-06,38765.58,32531.648,58
193,0.0,2.0411065,4.8443837,6.5555124,0.012442718,0.0039662155,0.010977057,8.519109e-06,38804.117,32531.648,57
194,0.0,6.9608064,6.3055124,6.002594,0.01116727,0.009256437,0.009570641,8.893188e-06,39136.734,,56
195,0.0,1.8549503,6.769148,7.23854,0.0008081935,0.0023352995,0.010980449,7.1812065e-06,39197.875,32531.648,55
196,0.0,0.5874415,7.3283195,5.19116,0.006885748,0.0002074153,0.018039018,9.268672e-06,39284.008,10698.625,54
197,0.0,2.5286462,7.59824,8.311354,0.00055807224,0.0135602895,0.005063623,8.139536e-06,39602.42,10698.625,53
198,0.0,2.7343342,8.534952,8.4502945,0.01185242,0.010917987,0.0024522422,9.063689e-06,40105.516,32531.648,52
199,0.0,7.1814985,3.7098417,9.255375,0.017059885,0.017583802,0.0047026165,7.677692e-06,40158.01,-55371.668,51
200,0.0,11.187905,5.213026,10.678129,0.007821242,0.016707325,0.019686282,9.339418e-06,40205.785,40158.01,100
201,0.0,10.30859,5.2696757,7.8774514,0.0044837883,0.008360851,0.0164806,8.334428e-06,40281.05,40158.01,99
202,0.0,3.4244576,7.96167,5.0796366,0.0076961857,0.0014805071,0.018099423,9.341822e-06,40380.133,40158.01,98
203,0.0,0.68676066,1.6369122,9.885061,0.01227073,0.009438764,0.0049752058,6.5301256e-06,40391.914,32531.648,97
204,0.0,4.5388255,6.3484645,7.0332937,0.011441956,0.008185703,0.0067925765,8.176728e-06,40495.523,40158.01,96
205,0.0,7.8523707,11.08391,4.64697,0.009687628,0.0070067993,0.012247657,9.936806e-06,40541.164,40158.01,95
206,0.0,6.4243336,2.913582,9.6855755,0.003266935,0.016978018,0.0001531938,7.312615e-06,40639.875,40158.01,94
207,0.0,7.6320257,3.698425,10.150031,0.0041438635,0.015362893,0.007314131,7.833151e-06,40645.742,40158.01,93
208,0.0,5.5126405,5.525457,6.9101596,0.0030864119,0.014125534,0.0033450932,8.463438e-06,40731.383,40158.01,92
209,0.0,10.544827,2.8090057,6.9318194,0.015103313,0.009680417,0.0019959111,8.507326e-06,40757.508,32531.648,91
210,0.0,4.6610637,5.454935,8.887138,0.014115477,0.009401154,0.013998853,7.953723e-06,40782.01,40158.01,90
